Bandwidth,MOS,Percentile,Hosts,Delay,Algorithms,Competition,Resolutions
5,1.63,30,1,100,arbiter,5,1
5,1.72,40,1,100,arbiter,5,1
5,1.84,50,1,100,arbiter,5,1
5,1.88,60,1,100,arbiter,5,1
5,1.88,70,1,100,arbiter,5,1
5,1.88,80,1,100,arbiter,5,1
5,1.88,90,1,100,arbiter,5,1
5,1.29,10,1,100,arbiter,10,1
5,1.31,20,1,100,arbiter,10,1
5,1.34,30,1,100,arbiter,10,1
5,1.38,40,1,100,arbiter,10,1
5,1.43,50,1,100,arbiter,10,1
5,1.53,60,1,100,arbiter,10,1
5,1.66,70,1,100,arbiter,10,1
5,1.84,80,1,100,arbiter,10,1
5,1.88,90,1,100,arbiter,10,1
5,1.88,10,1,50,arbiter,5,1
5,1.88,20,1,50,arbiter,5,1
5,1.88,30,1,50,arbiter,5,1
5,1.88,40,1,50,arbiter,5,1
5,1.9,50,1,50,arbiter,5,2
5,1.92,60,1,50,arbiter,5,2
5,1.96,70,1,50,arbiter,5,3
5,2.08,80,1,50,arbiter,5,3
5,2.15,90,1,50,arbiter,5,3
5,1.86,10,1,10,conv,5,3
5,1.93,20,1,10,conv,5,4
5,2.1,30,1,10,conv,5,4
5,2.18,40,1,10,conv,5,4
5,2.22,50,1,10,conv,5,4
5,2.36,60,1,10,conv,5,4
5,2.55,70,1,10,conv,5,4
5,2.78,80,1,10,conv,5,4
5,2.82,90,1,10,conv,5,4
5,1.63,10,1,10,arbiter,5,3
5,1.77,20,1,10,arbiter,5,3
5,1.88,30,1,10,arbiter,5,3
5,1.93,40,1,10,arbiter,5,3
5,2.05,50,1,10,arbiter,5,4
5,2.16,60,1,10,arbiter,5,4
5,2.27,70,1,10,arbiter,5,4
5,2.36,80,1,10,arbiter,5,4
5,2.43,90,1,10,arbiter,5,4
5,1.65,10,1,50,conv,5,3
5,1.77,20,1,50,conv,5,3
5,1.86,30,1,50,conv,5,3
5,1.95,40,1,50,conv,5,3
5,2.08,50,1,50,conv,5,4
5,2.18,60,1,50,conv,5,4
5,2.28,70,1,50,conv,5,4
5,2.32,80,1,50,conv,5,4
5,2.39,90,1,50,conv,5,4
5,1.24,10,1,50,arbiter,15,1
5,1.25,20,1,50,arbiter,15,1
5,1.27,30,1,50,arbiter,15,1
5,1.29,40,1,50,arbiter,15,1
5,1.31,50,1,50,arbiter,15,1
5,1.4,60,1,50,arbiter,15,1
5,1.44,70,1,50,arbiter,15,1
5,1.52,80,1,50,arbiter,15,1
5,1.76,90,1,50,arbiter,15,1
5,1.25,10,1,10,arbiter,15,1
5,1.26,20,1,10,arbiter,15,1
5,1.27,30,1,10,arbiter,15,1
5,1.3,40,1,10,arbiter,15,1
5,1.35,50,1,10,arbiter,15,1
5,1.43,60,1,10,arbiter,15,1
5,1.47,70,1,10,arbiter,15,1
5,1.5,80,1,10,arbiter,15,1
5,1.8,90,1,10,arbiter,15,1
5,1.28,10,1,100,conv,10,1
5,1.31,20,1,100,conv,10,1
5,1.36,30,1,100,conv,10,1
5,1.39,40,1,100,conv,10,1
5,1.47,50,1,100,conv,10,1
5,1.59,60,1,100,conv,10,1
5,1.68,70,1,100,conv,10,1
5,1.83,80,1,100,conv,10,1
5,1.88,90,1,100,conv,10,1
5,1.38,10,1,50,arbiter,10,1
5,1.44,20,1,50,arbiter,10,1
5,1.46,30,1,50,arbiter,10,1
5,1.52,40,1,50,arbiter,10,1
5,1.6,50,1,50,arbiter,10,1
5,1.64,60,1,50,arbiter,10,1
5,1.75,70,1,50,arbiter,10,1
5,1.84,80,1,50,arbiter,10,1
5,1.88,90,1,50,arbiter,10,1
5,1.24,10,1,100,conv,15,1
5,1.25,20,1,100,conv,15,1
5,1.26,30,1,100,conv,15,1
5,1.29,40,1,100,conv,15,1
5,1.32,50,1,100,conv,15,1
5,1.39,60,1,100,conv,15,1
5,1.48,70,1,100,conv,15,1
5,1.54,80,1,100,conv,15,1
5,1.83,90,1,100,conv,15,1
